"case","dir","pretest","conftest","indtest","c12","c21","hill1","hill2","p_val","beta1","beta_h1","beta_h2","dirH","pretestH","conftestH","c12H","c21H","df1","df2","dfh"
3,1,1,0,0,0.781487179487179,0.573248717948718,0.372586713648413,0.363085893929921,0.68301140878805,0.225882070884109,0.406919114105403,0.615524741262197,NA,NA,NA,NA,NA,4,4,3
3,1,1,1,0,0.843679487179487,0.698594871794872,0.398445596807966,0.327949039367166,0.00225333062451805,0.230769686028361,0.811598611064255,0.390733161382377,NA,NA,NA,NA,NA,3,4,3
2,1,0,0,1,0.653328205128205,0.539330769230769,0.516098328383173,0.421048731663569,0.0014180521030811,0.38010031580925,0.384193427115679,0.200491947121918,1,0,0,0.645135135167773,0.538070933837214,2,3,3
4,1,1,1,1,0.98705641025641,0.735338461538461,0.349287821098356,0.409075610040778,0.0129419811563753,0.723822010494769,0.835212536901236,0.845377335883677,1,1,0,0.961418616906549,0.562849799283207,4,2,3
3,1,1,1,1,0.945879487179487,0.641848717948718,0.360047016217799,0.310986643162251,0.0211196502872419,0.426518873497844,0.719704375788569,0.801476008631289,NA,NA,NA,NA,NA,4,4,3
3,1,1,0,0,0.772266666666667,0.547289743589744,0.35756107286765,0.40641796984722,0.0435733473811555,0.212031245231628,0.140348259359598,0.251220673136413,NA,NA,NA,NA,NA,4,3,3
4,1,1,0,1,0.928633333333333,0.565305128205128,0.318979581575153,0.463482442858636,9.30725652104059e-09,0.56389539539814,0.304243816994131,0.133353322558105,1,1,0,0.898262269988635,0.562602302080705,4,2,3
3,1,1,1,0,0.956053846153846,0.72075641025641,0.358542196640785,0.347968804602709,0.636068911058069,0.659405461512506,0.41881709266454,0.142634859122336,NA,NA,NA,NA,NA,4,3,3
2,1,0,0,0,0.58971282051282,0.548074358974359,0.501207931176795,0.495811006775534,0.864087333474862,0.445740520954132,0.555494551174343,0.510649618320167,1,0,0,0.59844161483622,0.5578531677843,2,2,4
1,1,0,0,1,0.598571794871795,0.513182051282051,0.412389334136095,0.584923595576403,7.02072404656917e-08,0.721849619597197,0.477978855185211,0.242019339464605,NA,NA,NA,NA,NA,3,2,4
1,1,0,0,1,0.552417948717949,0.498869230769231,0.416920090044393,0.56680468464681,1.90534962873912e-06,0.484950000047684,0.758890015259385,0.832864304073155,NA,NA,NA,NA,NA,3,2,4
4,1,0,1,0,0.983541025641026,0.958982051282051,0.335181410924531,0.340002237858065,0.821371285315886,0.848214175738394,0.433655486442149,0.810690298303962,1,1,1,0.975192085519937,0.873056292335024,4,4,3
2,2,0,0,1,0.539874358974359,0.604161538461538,0.347312996288221,0.530622801489849,1.024194062893e-10,0.723172766901553,0.419240219332278,0.753759095072746,2,0,0,0.570389239413557,0.606082132435071,2,3,4
1,1,0,0,1,0.495638461538462,0.480007692307692,0.526975931497301,0.402845165147065,2.85788144522847e-05,0.214133596606553,0.38668377827853,0.593012745305896,NA,NA,NA,NA,NA,2,3,3
4,1,1,1,0,0.854569230769231,0.716107692307692,0.351124251467381,0.349388775690377,0.937555097348043,0.326495833694935,0.210808910615742,0.840192637778819,1,1,1,0.849250322396698,0.638811232057758,4,3,3
4,1,1,1,0,0.984420512820513,0.829964102564102,0.370396360481105,0.351693284726454,0.412902197289705,0.573604332469404,0.817931617051363,0.464567394182086,1,1,1,0.98183224268888,0.774368334629533,3,3,3
3,1,1,1,0,0.982682051282051,0.778005128205128,0.416362799882962,0.374492906172432,0.0945542813218894,0.749600585922599,0.541488904692233,0.547946241870523,NA,NA,NA,NA,NA,3,3,2
1,1,1,0,1,0.602769230769231,0.451069230769231,0.410364339822345,0.548133278148909,6.82611114322107e-06,0.332056741975248,0.210832922719419,0.488135614804924,NA,NA,NA,NA,NA,3,2,2
4,1,1,1,0,0.924838461538461,0.746446153846154,0.331966331459112,0.357499597337499,0.241881621835935,0.46885008122772,0.365089734084904,0.837306412868202,1,1,1,0.918232201941868,0.639048667552516,4,3,3
3,1,1,0,0,0.949307692307692,0.546264102564103,0.53075582953803,0.491215160031226,0.221484811809084,0.272336071357131,0.195356117747724,0.526371373981237,NA,NA,NA,NA,NA,2,2,3
1,1,0,0,1,0.540715384615385,0.531002564102564,0.565301528979463,0.425641880848247,1.01865452097893e-05,0.745092519931495,0.831680071167648,0.335490587539971,NA,NA,NA,NA,NA,2,3,3
3,1,1,1,0,0.975194871794872,0.692430769230769,0.408974825978867,0.313447496720321,3.39136732567802e-05,0.460035648755729,0.760506315529346,0.532256763614714,NA,NA,NA,NA,NA,3,4,2
2,2,0,1,0,0.689658974358974,0.779487179487179,0.493788514237958,0.511824019003546,0.570674505027725,0.36589402910322,0.607218430191278,0.834197319485247,2,0,0,0.559667180809101,0.645682877557521,2,2,2
3,1,1,1,1,0.989789743589744,0.693084615384615,0.57968749619644,0.427054737635901,2.1353031569582e-06,0.359494839422405,0.77092107962817,0.728404603339732,NA,NA,NA,NA,NA,2,3,3
4,1,1,1,1,0.994002564102564,0.824092307692308,0.501045212761049,0.375945544866099,7.98172235039196e-06,0.514912664890289,0.394475708343089,0.608861133828759,1,1,1,0.993051192034261,0.803830802408962,2,3,4
1,1,0,0,1,0.526725641025641,0.487038461538462,0.546186653699025,0.36025814085951,2.09622541547105e-10,0.627233912795782,0.880739176273346,0.317967007495463,NA,NA,NA,NA,NA,2,4,3
2,1,1,0,1,0.676848717948718,0.535717948717949,0.329673373344691,0.373078803075318,0.0512401336400095,0.823592123575509,0.66511606015265,0.275583747588098,1,0,0,0.602572793527281,0.499511330140887,4,3,3
3,1,1,0,1,0.968610256410256,0.545305128205128,0.357392635532516,0.469843606587419,2.04892823747471e-05,0.648616596497595,0.431892104819417,0.421413352899253,NA,NA,NA,NA,NA,4,2,3
1,1,0,0,1,0.493753846153846,0.396528205128205,0.375629268440128,0.550615041178631,4.34941149762835e-09,0.239145425148308,0.66116723138839,0.70369511693716,NA,NA,NA,NA,NA,4,2,3
4,1,0,1,1,0.994258974358974,0.980928205128205,0.476347204395424,0.405421695597592,0.0112317478554733,0.640583699569106,0.510703555308282,0.49430892188102,1,1,1,0.995867390865697,0.940247154217897,2,4,2
2,2,0,1,1,0.589828205128205,0.637528205128205,0.355681000734924,0.445245443565757,0.00044083986616128,0.624221148528159,0.68759805187583,0.686949684284627,1,0,0,0.550814056564346,0.495990703373152,2,3,3
